word,month,n,month_total,percent,year
1940s,1,0,19,0,1970.0027397260274
1940s,2,0,10,0,1970.0027397260274
1940s,3,0,35,0,1970.0027397260274
1940s,4,0,20,0,1970.0027397260274
1940s,5,0,20,0,1970.0027397260274
1940s,6,0,11,0,1970.0027397260274
1940s,7,0,24,0,1970.0027397260274
1940s,8,1,17,0.058823529411764705,1970.0027397260274
1940s,9,0,29,0,1970.0027397260274
1940s,10,0,24,0,1970.0027397260274
1940s,11,0,23,0,1970.0027397260274
1940s,12,0,21,0,1970.0027397260274
29th,1,0,19,0,1970.0027397260274
29th,2,0,10,0,1970.0027397260274
29th,3,1,35,0.02857142857142857,1970.0027397260274
29th,4,0,20,0,1970.0027397260274
29th,5,0,20,0,1970.0027397260274
29th,6,0,11,0,1970.0027397260274
29th,7,0,24,0,1970.0027397260274
29th,8,0,17,0,1970.0027397260274
29th,9,0,29,0,1970.0027397260274
29th,10,0,24,0,1970.0027397260274
29th,11,0,23,0,1970.0027397260274
29th,12,0,21,0,1970.0027397260274
abduct,1,0,19,0,1970.0027397260274
abduct,2,0,10,0,1970.0027397260274
abduct,3,0,35,0,1970.0027397260274
abduct,4,0,20,0,1970.0027397260274
abduct,5,0,20,0,1970.0027397260274
abduct,6,0,11,0,1970.0027397260274
abduct,7,0,24,0,1970.0027397260274
abduct,8,0,17,0,1970.0027397260274
abduct,9,0,29,0,1970.0027397260274
abduct,10,0,24,0,1970.0027397260274
abduct,11,0,23,0,1970.0027397260274
abduct,12,1,21,0.047619047619047616,1970.0027397260274
abduction,1,0,19,0,1970.0027397260274
abduction,2,0,10,0,1970.0027397260274
abduction,3,0,35,0,1970.0027397260274
abduction,4,0,20,0,1970.0027397260274
abduction,5,0,20,0,1970.0027397260274
abduction,6,0,11,0,1970.0027397260274
abduction,7,0,24,0,1970.0027397260274
abduction,8,0,17,0,1970.0027397260274
abduction,9,0,29,0,1970.0027397260274
abduction,10,2,24,0.08333333333333333,1970.0027397260274
abduction,11,0,23,0,1970.0027397260274
abduction,12,0,21,0,1970.0027397260274
aboard,1,0,19,0,1970.0027397260274
aboard,2,1,10,0.1,1970.0027397260274
aboard,3,0,35,0,1970.0027397260274
aboard,4,0,20,0,1970.0027397260274
aboard,5,0,20,0,1970.0027397260274
aboard,6,0,11,0,1970.0027397260274
aboard,7,0,24,0,1970.0027397260274
aboard,8,0,17,0,1970.0027397260274
aboard,9,0,29,0,1970.0027397260274
aboard,10,0,24,0,1970.0027397260274
aboard,11,0,23,0,1970.0027397260274
aboard,12,0,21,0,1970.0027397260274
absence,1,0,19,0,1970.0027397260274
absence,2,0,10,0,1970.0027397260274
absence,3,0,35,0,1970.0027397260274
absence,4,0,20,0,1970.0027397260274
absence,5,0,20,0,1970.0027397260274
absence,6,0,11,0,1970.0027397260274
absence,7,0,24,0,1970.0027397260274
absence,8,0,17,0,1970.0027397260274
absence,9,1,29,0.034482758620689655,1970.0027397260274
absence,10,0,24,0,1970.0027397260274
absence,11,0,23,0,1970.0027397260274
absence,12,0,21,0,1970.0027397260274
abused,1,0,19,0,1970.0027397260274
abused,2,0,10,0,1970.0027397260274
abused,3,0,35,0,1970.0027397260274
abused,4,0,20,0,1970.0027397260274
abused,5,0,20,0,1970.0027397260274
abused,6,0,11,0,1970.0027397260274
abused,7,0,24,0,1970.0027397260274
abused,8,0,17,0,1970.0027397260274
abused,9,0,29,0,1970.0027397260274
abused,10,0,24,0,1970.0027397260274
abused,11,1,23,0.043478260869565216,1970.0027397260274
abused,12,0,21,0,1970.0027397260274
accident,1,0,19,0,1970.0027397260274
accident,2,0,10,0,1970.0027397260274
accident,3,0,35,0,1970.0027397260274
accident,4,0,20,0,1970.0027397260274
accident,5,0,20,0,1970.0027397260274
accident,6,0,11,0,1970.0027397260274
accident,7,1,24,0.041666666666666664,1970.0027397260274
accident,8,1,17,0.058823529411764705,1970.0027397260274
accident,9,2,29,0.06896551724137931,1970.0027397260274
accident,10,0,24,0,1970.0027397260274
accident,11,0,23,0,1970.0027397260274
accident,12,0,21,0,1970.0027397260274
accidentally,1,0,19,0,1970.0027397260274
accidentally,2,0,10,0,1970.0027397260274
accidentally,3,0,35,0,1970.0027397260274
accidentally,4,0,20,0,1970.0027397260274
accidentally,5,1,20,0.05,1970.0027397260274
accidentally,6,0,11,0,1970.0027397260274
accidentally,7,0,24,0,1970.0027397260274
accidentally,8,0,17,0,1970.0027397260274
accidentally,9,0,29,0,1970.0027397260274
accidentally,10,0,24,0,1970.0027397260274
accidentally,11,0,23,0,1970.0027397260274
accidentally,12,2,21,0.09523809523809523,1970.0027397260274
accidents,1,0,19,0,1970.0027397260274
accidents,2,0,10,0,1970.0027397260274
accidents,3,0,35,0,1970.0027397260274
accidents,4,0,20,0,1970.0027397260274
accidents,5,0,20,0,1970.0027397260274
accidents,6,0,11,0,1970.0027397260274
accidents,7,0,24,0,1970.0027397260274
accidents,8,0,17,0,1970.0027397260274
accidents,9,0,29,0,1970.0027397260274
accidents,10,0,24,0,1970.0027397260274
accidents,11,1,23,0.043478260869565216,1970.0027397260274
accidents,12,0,21,0,1970.0027397260274
account,1,0,19,0,1970.0027397260274
account,2,0,10,0,1970.0027397260274
account,3,0,35,0,1970.0027397260274
account,4,0,20,0,1970.0027397260274
account,5,0,20,0,1970.0027397260274
account,6,0,11,0,1970.0027397260274
account,7,0,24,0,1970.0027397260274
account,8,1,17,0.058823529411764705,1970.0027397260274
account,9,0,29,0,1970.0027397260274
account,10,0,24,0,1970.0027397260274
account,11,0,23,0,1970.0027397260274
account,12,0,21,0,1970.0027397260274
accused,1,0,19,0,1970.0027397260274
accused,2,1,10,0.1,1970.0027397260274
accused,3,0,35,0,1970.0027397260274
accused,4,0,20,0,1970.0027397260274
accused,5,0,20,0,1970.0027397260274
accused,6,0,11,0,1970.0027397260274
accused,7,0,24,0,1970.0027397260274
accused,8,0,17,0,1970.0027397260274
accused,9,0,29,0,1970.0027397260274
accused,10,0,24,0,1970.0027397260274
accused,11,0,23,0,1970.0027397260274
accused,12,0,21,0,1970.0027397260274
achieve,1,0,19,0,1970.0027397260274
achieve,2,0,10,0,1970.0027397260274
achieve,3,0,35,0,1970.0027397260274
achieve,4,0,20,0,1970.0027397260274
achieve,5,0,20,0,1970.0027397260274
achieve,6,1,11,0.09090909090909091,1970.0027397260274
achieve,7,0,24,0,1970.0027397260274
achieve,8,1,17,0.058823529411764705,1970.0027397260274
achieve,9,0,29,0,1970.0027397260274
achieve,10,0,24,0,1970.0027397260274
achieve,11,0,23,0,1970.0027397260274
achieve,12,0,21,0,1970.0027397260274
acid,1,0,19,0,1970.0027397260274
acid,2,0,10,0,1970.0027397260274
acid,3,1,35,0.02857142857142857,1970.0027397260274
acid,4,0,20,0,1970.0027397260274
acid,5,0,20,0,1970.0027397260274
acid,6,0,11,0,1970.0027397260274
acid,7,0,24,0,1970.0027397260274
acid,8,0,17,0,1970.0027397260274
acid,9,0,29,0,1970.0027397260274
acid,10,0,24,0,1970.0027397260274
acid,11,0,23,0,1970.0027397260274
acid,12,0,21,0,1970.0027397260274
acids,1,0,19,0,1970.0027397260274
acids,2,0,10,0,1970.0027397260274
acids,3,0,35,0,1970.0027397260274
acids,4,0,20,0,1970.0027397260274
acids,5,0,20,0,1970.0027397260274
