gender,age_group,age,marital_status,state,zone,occupation,product_category,amount
F,26-35,28,0,Maharashtra,Western,Healthcare,Auto,23952
F,26-35,35,1,Andhra Pradesh,Southern,Govt,Auto,23934
F,26-35,35,1,Uttar Pradesh,Central,Automobile,Auto,23924
M,0-17,16,0,Karnataka,Southern,Construction,Auto,23912
M,26-35,28,1,Gujarat,Western,Food Processing,Auto,23877
M,26-35,28,1,Himachal Pradesh,Northern,Food Processing,Auto,23877
F,18-25,25,1,Uttar Pradesh,Central,Lawyer,Auto,23841
M,26-35,35,0,Uttar Pradesh,Central,Govt,Auto,23809
F,26-35,26,1,Andhra Pradesh,Southern,Media,Auto,23799.99
M,26-35,34,0,Delhi,Central,Banking,Auto,23770
F,18-25,20,0,Andhra Pradesh,Southern,Retail,Auto,23752
F,18-25,20,1,Andhra Pradesh,Southern,IT Sector,Auto,23730
M,26-35,26,1,Andhra Pradesh,Southern,Automobile,Auto,23718
F,18-25,24,0,Andhra Pradesh,Southern,Govt,Auto,23664
F,26-35,29,0,Andhra Pradesh,Southern,Aviation,Auto,23619
M,51-55,54,1,Uttar Pradesh,Central,Hospitality,Auto,23568
M,51-55,54,1,Uttar Pradesh,Central,Hospitality,Auto,23568
F,18-25,19,1,Andhra Pradesh,Southern,Govt,Auto,23546
F,46-50,46,1,Uttar Pradesh,Central,Banking,Auto,23525
F,26-35,30,0,Andhra Pradesh,Southern,IT Sector,Auto,23518
F,51-55,53,0,Uttar Pradesh,Central,Automobile,Auto,23515
M,55+,83,0,Karnataka,Southern,Automobile,Auto,23513
F,26-35,33,0,Andhra Pradesh,Southern,IT Sector,Auto,23462
F,36-45,40,0,Uttar Pradesh,Central,Banking,Auto,23456
F,18-25,25,1,Andhra Pradesh,Southern,Banking,Auto,23451
M,51-55,54,1,Andhra Pradesh,Southern,Govt,Hand & Power Tools,23434
F,36-45,39,1,Andhra Pradesh,Southern,Aviation,Auto,23389
F,18-25,20,0,Andhra Pradesh,Southern,Aviation,Auto,23365
F,26-35,32,1,Andhra Pradesh,Southern,Food Processing,Auto,23326
F,36-45,36,0,Andhra Pradesh,Southern,Automobile,Auto,23314
F,26-35,35,1,Maharashtra,Western,Media,Auto,23306
F,51-55,55,1,Andhra Pradesh,Southern,Healthcare,Auto,23302
M,26-35,27,1,Jharkhand,Eastern,Govt,Auto,23285
M,18-25,20,1,Delhi,Central,Media,Auto,23281
F,26-35,32,0,Andhra Pradesh,Southern,Aviation,Auto,23270
M,55+,72,1,Himachal Pradesh,Northern,Media,Auto,23267
F,18-25,25,1,Andhra Pradesh,Southern,Banking,Auto,23252
M,26-35,35,0,Kerala,Southern,Aviation,Auto,23247
M,26-35,30,1,Uttar Pradesh,Central,Banking,Hand & Power Tools,23246
M,0-17,16,0,Andhra Pradesh,Southern,Food Processing,Auto,23239
F,36-45,40,0,Andhra Pradesh,Southern,Aviation,Auto,23201
F,26-35,35,1,Andhra Pradesh,Southern,Aviation,Auto,23185
M,36-45,45,1,Andhra Pradesh,Southern,Agriculture,Hand & Power Tools,23160
F,26-35,28,0,Andhra Pradesh,Southern,Banking,Auto,23154
M,26-35,32,1,Delhi,Central,Construction,Auto,23103
F,26-35,32,0,Andhra Pradesh,Southern,Retail,Auto,23066
F,51-55,53,0,Andhra Pradesh,Southern,IT Sector,Auto,23053
F,36-45,43,1,Andhra Pradesh,Southern,IT Sector,Auto,23047
M,26-35,29,0,Haryana,Northern,IT Sector,Stationery,21563
F,46-50,47,0,Delhi,Central,Textile,Stationery,21547
F,26-35,35,0,Delhi,Central,Lawyer,Stationery,21533
