id,chapter,title,date,location,year,chapter_city,latitude,longitude
296275584,rladies-st-louis,Save the date! Introduction to ChatGPT for R coding,2023-11-30,online,2023,"Saint Louis, MO",38.6280278,-90.1910154
296277517,rladies-coventry,An basic introduction: Python for R Users,2023-11-30,online,2023,Coventry,52.4081812,-1.510477
295898711,rladies-baltimore,Holiday graphics and animations in R,2023-11-28,inperson,2023,"Baltimore, MD",39.2908816,-76.610759
296346610,rladies-philly,TidyTuesday with R-Ladies Philly!,2023-11-14,online,2023,"Philadelphia, PA",39.9527237,-75.1635262
296275461,rladies-st-louis,Save the date! Introduction to Network Analysis in R,2023-11-08,online,2023,"Saint Louis, MO",38.6280278,-90.1910154
296424871,rladies-kathmandu,4 days workshop,2023-11-01,inperson,2023,Kathmandu,27.708317,85.3205817
296239571,rladies-taipei,旅遊服務銜接 AIGC 的各種坑,2023-10-30,inperson,2023,Taipei,25.0375198,121.5636796
296559481,rladies-montreal,"RLadies October Meetup - ""R-omics"": Using R for bioinformatics",2023-10-30,inperson,2023,"Montréal, QC",45.5031824,-73.5698065
296677321,rladies-abuja,R-Ladies Abuja and Abuja R user Group Meet and Greet,2023-10-28,inperson,2023,Abuja,9.0643305,7.4892974
296720878,rladies-sao-paulo,Meetup R-Ladies São Paulo - Introdução ao R,2023-10-28,inperson,2023,São Paulo,-1.2043218,-47.1583944
296693484,rladies-sancristobal,Introducción a R,2023-10-27,online,2023,San Cristóbal de las Casas,16.6835469,-92.61551841991157
296671814,rladies-xalapa,Introducción a R,2023-10-27,online,2023,Xalapa,19.5408338,-96.9146374
295897476,rladies-baltimore,Visualization and analysis of spatial data,2023-10-27,online,2023,"Baltimore, MD",39.2908816,-76.610759
296506186,rladies-ljubljana,DELAVNICA: Mešano,2023-10-26,inperson,2023,Ljubljana,46.0500268,14.5069289
296686744,rladies-salvador,5º Meetup Virtual R_Ladies Salvador,2023-10-25,online,2023,Salvador,13.8000382,-88.9140683
296330423,rladies-zurich,Zero to Quarto: Build your first Quarto website,2023-10-23,inperson,2023,Zürich,47.3744489,8.5410422
291443779,rladies-rome,"R-Ladies Rome - Meet and Greet, October 21st at 6:00 PM CET",2023-10-21,inperson,2023,"Roma, RM",41.8933203,12.4829321
296536177,rladiesnyc,R-Ladies Coffe and Code Hangout,2023-10-21,inperson,2023,"New York, NY",40.7127281,-74.0060152
296348641,rladies-ribeirao-preto,Trabalhando com R no Jornalismo de Dados,2023-10-21,online,2023,Ribeirão Preto,-21.1776315,-47.8100983
296643869,rladies-milagro,Taller de Estadística Descriptiva en R ,2023-10-20,online,2023,Milagro,42.2418183,-1.7628016
296623138,rladies-paris,Retour d'Expériences en Science des Données et en Consultation Scientifique,2023-10-19,inperson,2023,Paris,48.8534951,2.3483915
296083625,rladies-dc,Data Happy Hour,2023-10-19,inperson,2023,"Washington, DC",38.8950368,-77.0365427
296527872,rladies-lima,Modelos de Machine Learning utilizando Tidymodels,2023-10-14,online,2023,Lima,-12.0621065,-77.0365256
296252747,rladiesnyc,R-Ladies Book Club -In Person Only,2023-10-14,inperson,2023,"New York, NY",40.7127281,-74.0060152
296647643,rladies-cuernavaca,Tidyverse,2023-10-12,online,2023,Cuernavaca,18.9218274,-99.2342282
296596831,rladies-milagro,"""La estadística: ciencia que encuentra la magia en los números y la verdad en lo",2023-10-12,inperson,2023,Milagro,42.2418183,-1.7628016
296373283,rladies-santa-barbara,An Introduction to targets for R,2023-10-11,online,2023,"Santa Barbara, CA",34.4221319,-119.702667
296380055,rladies-goiania,Introdução ao R e Aplicações,2023-10-07,inperson,2023,Goiania,-16.680882,-49.2532691
296247865,rladies-wellington,R-Ladies Networking: Building Connections!,2023-10-07,inperson,2023,Wellington,-41.2887953,174.7772114
295604042,rladies-vancouver,R beginner workshop series - Part 4!,2023-10-04,online,2023,"Vancouver, BC",49.2608724,-123.113952
296181395,rladies-strasbourg,Watch Party Francophone pour la posit::conf,2023-10-03,online,2023,Strasbourg,48.584614,7.7507127
296164032,rladies-paris,Watch Party Francophone pour la posit::conf,2023-10-03,online,2023,Paris,48.8534951,2.3483915
296054984,rladies-budapest,bioinfoRmatics by Budapest Users of R Network,2023-10-03,inperson,2023,Budapest,47.4978918,19.0401609
295994131,rladies-cologne,"Hello, Quarto: A World of Possibilities",2023-10-03,online,2023,Cologne,43.7218277,0.9774958
295922921,rladies-bergen,"Hello, Quarto: A World of Possibilities",2023-10-03,online,2023,Bergen,60.3943055,5.3259192
295604039,rladies-vancouver,R beginner workshop series - Part 3!,2023-09-27,online,2023,"Vancouver, BC",49.2608724,-123.113952
295703944,rladies-seattle,Highlights of posit::conf,2023-09-26,inperson,2023,"Seattle, WA",47.6038321,-122.330062
294732577,rladies-philly,"Book Club! More than a Glitch: Confronting Race, Gender & Ability Bias in Tech",2023-09-26,online,2023,"Philadelphia, PA",39.9527237,-75.1635262
294438718,rladies-dc,"Book Club! More than a Glitch: Confronting Race, Gender & Ability Bias in Tech ",2023-09-26,online,2023,"Washington, DC",38.8950368,-77.0365427
295826281,rladies-ottawa,R-Ladies Ottawa Networking Event,2023-09-26,inperson,2023,"Ottawa, ON",45.4208777,-75.6901106
295898159,rladies-baltimore,Intro to data wrangling with palmerpenguins,2023-09-26,inperson,2023,"Baltimore, MD",39.2908816,-76.610759
295738074,rladies-montreal,RLadies 2023-24 Kickoff: Introduction to data wrangling with dplyr,2023-09-25,inperson,2023,"Montréal, QC",45.5031824,-73.5698065
295452194,rladies-taipei,從 MLOps 到 LLMOps 的混合雲實踐,2023-09-25,inperson,2023,Taipei,25.0375198,121.5636796
296298202,rladies-villahermosa,4to. Encuentro Anual de R-Ladies México,2023-09-24,inperson,2023,Villahermosa,18.0018152,-92.9330401483751
295264849,rladies-newyork,R-Ladies NYC Lightning Talks - RSVP and Call for Speakers,2023-09-24,online,2023,"New York, NY",40.7127281,-74.0060152
296267425,rladies-cdmx,4to. Encuentro Anual de R-Ladies México 🇲🇽,2023-09-23,online,2023,México City,19.4326296,-99.1331785
296260843,rladies-guadalajara,4to. Encuentro Anual de R-Ladies México 🇲🇽,2023-09-23,online,2023,Guadalajara,20.6720375,-103.338396
