chapter,place,title,date,location,year,latitude,longitude
rladies,st-louis,Save the date! Introduction to ChatGPT for R coding,2023-11-30,online,2023,38.6280278,-90.1910154
rladies,coventry,An basic introduction: Python for R Users,2023-11-30,online,2023,52.4081812,-1.510477
rladies,baltimore,Holiday graphics and animations in R,2023-11-28,inperson,2023,39.2908816,-76.610759
rladies,philly,TidyTuesday with R-Ladies Philly!,2023-11-14,online,2023,39.9527237,-75.1635262
rladies,st-louis,Save the date! Introduction to Network Analysis in R,2023-11-08,online,2023,38.6280278,-90.1910154
rladies,kathmandu,4 days workshop,2023-11-01,inperson,2023,27.708317,85.3205817
rladies,taipei,旅遊服務銜接 AIGC 的各種坑,2023-10-30,inperson,2023,25.0375198,121.5636796
rladies,montreal,"RLadies October Meetup - ""R-omics"": Using R for bioinformatics",2023-10-30,inperson,2023,45.5031824,-73.5698065
rladies,abuja,R-Ladies Abuja and Abuja R user Group Meet and Greet,2023-10-28,inperson,2023,9.0643305,7.4892974
rladies,sao-paulo,Meetup R-Ladies São Paulo - Introdução ao R,2023-10-28,inperson,2023,-23.5506507,-46.6333824
rladies,sancristobal,Introducción a R,2023-10-27,online,2023,43.2112073,-3.1321163
rladies,xalapa,Introducción a R,2023-10-27,online,2023,19.5408338,-96.9146374
rladies,baltimore,Visualization and analysis of spatial data,2023-10-27,online,2023,39.2908816,-76.610759
rladies,ljubljana,DELAVNICA: Mešano,2023-10-26,inperson,2023,46.0500268,14.5069289
rladies,salvador,5º Meetup Virtual R_Ladies Salvador,2023-10-25,online,2023,13.8000382,-88.9140683
rladies,zurich,Zero to Quarto: Build your first Quarto website,2023-10-23,inperson,2023,47.3744489,8.5410422
rladies,rome,"R-Ladies Rome - Meet and Greet, October 21st at 6:00 PM CET",2023-10-21,inperson,2023,41.8933203,12.4829321
rladiesnyc,NA,R-Ladies Coffe and Code Hangout,2023-10-21,inperson,2023,NA,NA
rladies,ribeirao-preto,Trabalhando com R no Jornalismo de Dados,2023-10-21,online,2023,-21.1776315,-47.8100983
rladies,milagro,Taller de Estadística Descriptiva en R ,2023-10-20,online,2023,42.2418183,-1.7628016
rladies,paris,Retour d'Expériences en Science des Données et en Consultation Scientifique,2023-10-19,inperson,2023,48.8534951,2.3483915
rladies,dc,Data Happy Hour,2023-10-19,inperson,2023,4.6529539,-74.0835643
rladies,lima,Modelos de Machine Learning utilizando Tidymodels,2023-10-14,online,2023,-12.0621065,-77.0365256
rladiesnyc,NA,R-Ladies Book Club -In Person Only,2023-10-14,inperson,2023,NA,NA
rladies,cuernavaca,Tidyverse,2023-10-12,online,2023,18.9218274,-99.2342282
rladies,milagro,"""La estadística: ciencia que encuentra la magia en los números y la verdad en lo",2023-10-12,inperson,2023,42.2418183,-1.7628016
rladies,santa-barbara,An Introduction to targets for R,2023-10-11,online,2023,34.4221319,-119.702667
rladies,goiania,Introdução ao R e Aplicações,2023-10-07,inperson,2023,-16.680882,-49.2532691
rladies,wellington,R-Ladies Networking: Building Connections!,2023-10-07,inperson,2023,-41.2887953,174.7772114
rladies,vancouver,R beginner workshop series - Part 4!,2023-10-04,online,2023,49.2608724,-123.113952
