chapter                        ,keywords
rladies-aarhus                 ,
rladies-abuja                  ," tidymodels, JavaScript,GitHub Actions, GitHub"
rladies-addis-ababa            ,""
rladies-adelaide               ,"R Absolute Beginners Workshop, R"
rladies-aguascalientes         ," la corrupción, las ciencias, Las mexicanas, la impunidad, datos, auditorías"
rladies-algiers                ,"dplyr,  Packages Development, third meetup"
rladies-ames                   ,"LunchinatoRs, TidyTuesday,ggplot2, Blogdown, GitHub,  dplyr, Analytics & Data Sciences Career Panel"
rladies-amsterdam              ,"Tidyverse, Advanced R Chapter, R Markdown, Caret, Shiny, flexdashboard, ggplot2"
rladies-ankara                 ,"Webinar Serisi, Git, GitHub"
rladies-asuncion               ,""
rladies-athens-ga              ,"Data Science, book club, A very basic intro, Support Vector Machines, INTERACTIVE INTERFACES, TEXTUAL DATA EXPLORATION"
rladies-atlanta                ,"Sports Analytics,  Emory University, R Shiny, the Tidyverse, An Data Science, the Tidyverse: An Introduction, Data Wrangling"
rladies-auckland               ,"kableExtra, Data exploration, visualisation, Tech, Team, A jouRney, Tables, R Markdown"
rladies-austin                 ,"ALL the Ladies, Tech Happy Hour, ALL the Ladies in Tech Happy Hour, Austin R User Group, Book Club, Dell Med,  Data Science Workshop, Lightning Talks, ggplot2"
rladies-baltimore              ," RStudio, your R code, Python, purrr, Excel, Git, tidycode, data, Holiday graphics"
rladies-banda-aceh             ,"Mengenal  RStudio, Third Meetup, Second Meetup, First Meetup"
rladies-bangalore              ,"ggplot2, Tidyverse, Exploratory R Markdown Template, Reproducible Research, my R journey, Tricks, #30DayMapChallenge, maps"
rladies-barcelona              ," ggplot2, Tidymodels, Oliver Wyman Digital, Sanofi, RMarkdown, Git, RStudio, dplyr"
rladies-bari                   ," Data Science, Oliver Wyman Data & Analytics Team, partnership, [Workshop, Twitter, LinkedIn, SheTech, Lascia Excel, GGPLOT2"
rladies-bariloche              ,"TALLER, DE ESTUDIO LIBRO, DATOS,  FactoMineR, Análisis, datos, los datos, programación, TURNO TARDE"
rladies-barranquilla           ,"Ciencia de Datos, Sesión, Club de lectura  Club de lectura ""Efficient R Programming, Club,  datos, dplyr, Club de lectura Efficient R Programming, lectura R"
rladies-beijing                ," Supervised Machine Learning, Classification, Regression, connections, visualization, stories, data, a data visualization"
