season_number,story_number,episode_number,episode_title,type,first_aired,uk_viewers,rating,duration,episode,overall_episode_number,writer,director
1,157,1,Rose,episode,2005-03-26,10.81,76,45,1.1 Rose,1,Russell T Davies,Keith Boak
1,158,2,The End of the World,episode,2005-04-02,7.97,76,44,1.2 The End of the World,2,Russell T Davies,Euros Lyn
1,159,3,The Unquiet Dead,episode,2005-04-09,8.86,80,44,1.3 The Unquiet Dead,3,Mark Gatiss,Euros Lyn
1,160a,4,Aliens of London,episode,2005-04-16,7.63,82,45,1.4 Aliens of London,4,Russell T Davies,Keith Boak
1,160b,5,World War Three,episode,2005-04-23,7.98,81,42,1.5 World War Three,5,Russell T Davies,Keith Boak
1,161,6,Dalek,episode,2005-04-30,8.63,84,45,1.6 Dalek,6,Robert Shearman,Joe Ahearne
1,162,7,The Long Game,episode,2005-05-07,8.01,81,44,1.7 The Long Game,7,Russell T Davies,Brian Grant
1,163,8,Father's Day,episode,2005-05-14,8.06,83,45,1.8 Father's Day,8,Paul Cornell,Joe Ahearne
1,164a,9,The Empty Child,episode,2005-05-21,7.11,84,45,1.9 The Empty Child,9,Steven Moffat,James Hawes
1,164b,10,The Doctor Dances,episode,2005-05-28,6.86,85,45,1.10 The Doctor Dances,10,Steven Moffat,James Hawes
1,165,11,Boom Town,episode,2005-06-04,7.68,82,45,1.11 Boom Town,11,Russell T Davies,Joe Ahearne
1,166a,12,Bad Wolf,episode,2005-06-11,6.81,86,45,1.12 Bad Wolf,12,Russell T Davies,Joe Ahearne
1,166b,13,The Parting of the Ways,episode,2005-06-18,6.91,89,45,1.13 The Parting of the Ways,13,Russell T Davies,Joe Ahearne
2,167,NA,The Christmas Invasion,special,2005-12-25,9.84,84,60,2.X The Christmas Invasion,14,Russell T Davies,James Hawes
2,168,1,New Earth,episode,2006-04-15,8.62,85,45,2.1 New Earth,15,Russell T Davies,James Hawes
2,169,2,Tooth and Claw,episode,2006-04-22,9.24,83,45,2.2 Tooth and Claw,16,Russell T Davies,Euros Lyn
2,170,3,School Reunion,episode,2006-04-29,8.31,85,45,2.3 School Reunion,17,Toby Whithouse,James Hawes
2,171,4,The Girl in the Fireplace,episode,2006-05-06,7.9,84,45,2.4 The Girl in the Fireplace,18,Steven Moffat,Euros Lyn
2,172a,5,Rise of the Cybermen,episode,2006-05-13,9.22,86,45,2.5 Rise of the Cybermen,19,Tom MacRae,Graeme Harper
2,172b,6,The Age of Steel,episode,2006-05-20,7.63,86,45,2.6 The Age of Steel,20,Tom MacRae,Graeme Harper
2,173,7,The Idiot's Lantern,episode,2006-05-27,6.76,84,45,2.7 The Idiot's Lantern,21,Mark Gatiss,Euros Lyn
2,174a,8,The Impossible Planet,episode,2006-06-03,6.32,85,45,2.8 The Impossible Planet,22,Matt Jones,James Strong
2,174b,9,The Satan Pit,episode,2006-06-10,6.08,86,45,2.9 The Satan Pit,23,Matt Jones,James Strong
2,175,10,Love & Monsters,episode,2006-06-17,6.66,76,45,2.10 Love & Monsters,24,Russell T Davies,Dan Zeff
2,176,11,Fear Her,episode,2006-06-24,7.14,83,45,2.11 Fear Her,25,Matthew Graham,Euros Lyn
2,177a,12,Army of Ghosts,episode,2006-07-01,8.19,86,45,2.12 Army of Ghosts,26,Russell T Davies,Graeme Harper
2,177b,13,Doomsday,episode,2006-07-08,8.22,89,45,2.13 Doomsday,27,Russell T Davies,Graeme Harper
3,178,NA,The Runaway Bride,special,2006-12-25,9.35,84,60,3.X The Runaway Bride,28,Russell T Davies,Euros Lyn
3,179,1,Smith and Jones,episode,2007-03-31,8.71,88,45,3.1 Smith and Jones,29,Russell T Davies,Charles Palmer
3,180,2,The Shakespeare Code,episode,2007-04-07,7.23,87,45,3.2 The Shakespeare Code,30,Gareth Roberts,Charles Palmer
3,181,3,Gridlock,episode,2007-04-14,8.41,85,45,3.3 Gridlock,31,Russell T Davies,Richard Clark
3,182a,4,Daleks in Manhattan,episode,2007-04-21,6.69,86,45,3.4 Daleks in Manhattan,32,Helen Raynor,James Strong
3,182b,5,Evolution of the Daleks,episode,2007-04-28,6.97,85,45,3.5 Evolution of the Daleks,33,Helen Raynor,James Strong
3,183,6,The Lazarus Experiment,episode,2007-05-05,7.19,86,45,3.6 The Lazarus Experiment,34,Stephen Greenhorn,Richard Clark
3,184,7,42,episode,2007-05-19,7.41,85,45,3.7 42,35,Chris Chibnall,Graeme Harper
3,185a,8,Human Nature,episode,2007-05-26,7.74,86,45,3.8 Human Nature,36,Paul Cornell,Charles Palmer
3,185b,9,The Family of Blood,episode,2007-06-02,7.21,86,45,3.9 The Family of Blood,37,Paul Cornell,Charles Palmer
3,186,10,Blink,episode,2007-06-09,6.62,87,45,3.10 Blink,38,Steven Moffat,Hettie MacDonald
3,187a,11,Utopia,episode,2007-06-16,7.84,87,45,3.11 Utopia,39,Russell T Davies,Graeme Harper
3,187b,12,The Sound of Drums,episode,2007-06-23,7.51,87,45,3.12 The Sound of Drums,40,Russell T Davies,Colin Teague
3,187c,13,Last of the Time Lords,episode,2007-06-30,8.61,88,52,3.13 Last of the Time Lords,41,Russell T Davies,Colin Teague
4,188,NA,Voyage of the Damned,special,2007-12-25,13.31,86,72,4.X Voyage of the Damned,42,Russell T Davies,James Strong
4,189,1,Partners in Crime,episode,2008-04-05,9.14,88,50,4.1 Partners in Crime,43,Russell T Davies,James Strong
4,190,2,The Fires of Pompeii,episode,2008-04-12,9.04,87,50,4.2 The Fires of Pompeii,44,James Moran,Colin Teague
4,191,3,Planet of the Ood,episode,2008-04-19,7.5,87,45,4.3 Planet of the Ood,45,Keith Temple,Graeme Harper
4,192a,4,The Sontaran Stratagem,episode,2008-04-26,7.06,87,45,4.4 The Sontaran Stratagem,46,Helen Raynor,Douglas Mackinnon
4,192b,5,The Poison Sky,episode,2008-05-03,6.53,88,45,4.5 The Poison Sky,47,Helen Raynor,Douglas Mackinnon
4,193,6,The Doctor's Daughter,episode,2008-05-10,7.33,88,45,4.6 The Doctor's Daughter,48,Stephen Greenhorn,Alice Troughton
4,194,7,The Unicorn and the Wasp,episode,2008-05-17,8.41,86,45,4.7 The Unicorn and the Wasp,49,Gareth Roberts,Graeme Harper
4,195a,8,Silence in the Library,episode,2008-05-31,6.27,89,45,4.8 Silence in the Library,50,Steven Moffat,Euros Lyn
4,195b,9,Forest of the Dead,episode,2008-06-07,7.84,89,45,4.9 Forest of the Dead,51,Steven Moffat,Euros Lyn
4,196,10,Midnight,episode,2008-06-14,8.05,86,45,4.10 Midnight,52,Russell T Davies,Alice Troughton
4,197,11,Turn Left,episode,2008-06-21,8.09,88,50,4.11 Turn Left,53,Russell T Davies,Graeme Harper
4,198a,12,The Stolen Earth,episode,2008-06-28,8.78,91,45,4.12 The Stolen Earth,54,Russell T Davies,Graeme Harper
