tconst,genre_ids,release_date,title,color,percentage,hsv_family,year
tt0020356,35,1929-09-14,Sailor's Holiday,#FBE400,14.974814814814817,#CCFF00,1929
tt0020356,35,1929-09-14,Sailor's Holiday,#FBE402,1.451851851851852,#CCFF00,1929
tt0020356,35,1929-09-14,Sailor's Holiday,#FBE500,0.9925925925925928,#CCFF00,1929
tt0020356,35,1929-09-14,Sailor's Holiday,#000000,0.954074074074074,#000000,1929
tt0020356,35,1929-09-14,Sailor's Holiday,#FAE500,0.8237037037037037,#CCFF00,1929
tt0021268,35,1930-08-25,St. Jorgen's Day,#1C1819,0.1688888888888889,#000000,1930
tt0021268,35,1930-08-25,St. Jorgen's Day,#58A1C4,0.16592592592592592,#3966AA,1930
tt0021268,35,1930-08-25,St. Jorgen's Day,#56A2C4,0.16296296296296295,#3966AA,1930
tt0021268,35,1930-08-25,St. Jorgen's Day,#5AA3C4,0.16,#3966AA,1930
tt0021268,35,1930-08-25,St. Jorgen's Day,#58A1C2,0.15703703703703703,#3966AA,1930
tt0023039,18,1931-12-19,Husband's Holiday,#F6EEF9,1.220740740740741,#FFFFFF,1931
tt0023039,18,1931-12-19,Husband's Holiday,#F7EFFA,0.5422222222222223,#FFFFFF,1931
tt0023039,18,1931-12-19,Husband's Holiday,#F8F0FB,0.5303703703703704,#FFFFFF,1931
tt0023039,18,1931-12-19,Husband's Holiday,#060000,0.3674074074074074,#000000,1931
tt0023039,18,1931-12-19,Husband's Holiday,#F7EFFC,0.34370370370370373,#FFFFFF,1931
tt0025006,37,1934-12-14,Cowboy Holiday,#5B2B1F,0.07407407407407407,#551C1C,1934
tt0025006,37,1934-12-14,Cowboy Holiday,#5C2A1F,0.06222222222222223,#551C1C,1934
tt0025006,37,1934-12-14,Cowboy Holiday,#0162AF,0.05925925925925926,#0044AA,1934
tt0025006,37,1934-12-14,Cowboy Holiday,#2B3238,0.05037037037037037,#394455,1934
tt0025006,37,1934-12-14,Cowboy Holiday,#602C21,0.05037037037037037,#551C1C,1934
tt0028763,18,1937-06-06,Dangerous Holiday,#1C1A1B,7.543703703703704,#000000,1937
tt0028763,18,1937-06-06,Dangerous Holiday,#1C1A1D,0.3970370370370371,#000000,1937
tt0028763,18,1937-06-06,Dangerous Holiday,#1E1A19,0.3851851851851852,#000000,1937
tt0028763,18,1937-06-06,Dangerous Holiday,#1E1A1B,0.3703703703703704,#000000,1937
tt0028763,18,1937-06-06,Dangerous Holiday,#1B1B1D,0.2518518518518518,#000000,1937
tt0039473,37,1947-07-18,Hoppy's Holiday,#FFFFFF,17.30962962962963,#FFFFFF,1947
tt0039473,37,1947-07-18,Hoppy's Holiday,#C95B02,5.300740740740741,#AA6600,1947
tt0039473,37,1947-07-18,Hoppy's Holiday,#000000,2.8325925925925923,#000000,1947
tt0039473,37,1947-07-18,Hoppy's Holiday,#FFFFFD,2.094814814814815,#FFFFFF,1947
tt0039473,37,1947-07-18,Hoppy's Holiday,#FFFEFF,1.2118518518518515,#FFFFFF,1947
tt0040848,10402,1948-04-15,Summer Holiday,#FFFFFF,27.6,#FFFFFF,1948
tt0040848,10402,1948-04-15,Summer Holiday,#FFFFFD,2.974814814814815,#FFFFFF,1948
tt0040848,10402,1948-04-15,Summer Holiday,#FFFEFF,1.262222222222222,#FFFFFF,1948
tt0040848,10402,1948-04-15,Summer Holiday,#FFFFFB,1.0962962962962963,#FFFFFF,1948
tt0040848,10402,1948-04-15,Summer Holiday,#FEFFFF,0.8059259259259259,#FFFFFF,1948
tt0041099,NA,1949-05-09,Holiday in Hell,#020202,0.18666666666666668,#000000,1949
tt0041099,NA,1949-05-09,Holiday in Hell,#020204,0.1037037037037037,#000000,1949
tt0041099,NA,1949-05-09,Holiday in Hell,#010204,0.09777777777777776,#000000,1949
tt0041099,NA,1949-05-09,Holiday in Hell,#900210,0.06814814814814815,#AA0000,1949
tt0041099,NA,1949-05-09,Holiday in Hell,#010101,0.06222222222222223,#000000,1949
tt0042568,10402,1950-10-30,Holiday Rhythm,#F1FCFE,5.783703703703703,#FFFFFF,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,#F9F88C,2.074074074074074,#EEFFAA,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,#FAF78C,0.5422222222222223,#EEFFAA,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,#F8F78B,0.3822222222222222,#EEFFAA,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,#F2FDFF,0.33481481481481484,#FFFFFF,1950
tt0044715,18,1952-07-25,Holiday for Sinners,#FDFEF8,11.022222222222222,#FFFFFF,1952
tt0044715,18,1952-07-25,Holiday for Sinners,#FEFFFF,1.268148148148148,#FFFFFF,1952
tt0044715,18,1952-07-25,Holiday for Sinners,#FDFEF9,0.9511111111111112,#FFFFFF,1952
tt0044715,18,1952-07-25,Holiday for Sinners,#FFFFFF,0.5985185185185186,#FFFFFF,1952
tt0044715,18,1952-07-25,Holiday for Sinners,#FCFFFF,0.5096296296296297,#FFFFFF,1952
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,#D8D6C9,12.154074074074074,#FFFFFF,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,#D9D7CA,11.64148148148148,#FFFFFF,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,#DAD8CB,8.782222222222222,#FFFFFF,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,#D7D5C8,5.084444444444444,#FFFFFF,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,#DBD8C9,3.92,#FFFFFF,1953
tt0047939,99,1955-02-08,Cinerama Holiday,#FEFFFF,0.26962962962962966,#FFFFFF,1955
tt0047939,99,1955-02-08,Cinerama Holiday,#FBFFFF,0.1837037037037037,#FFFFFF,1955
tt0047939,99,1955-02-08,Cinerama Holiday,#FCFFFF,0.1748148148148148,#FFFFFF,1955
tt0047939,99,1955-02-08,Cinerama Holiday,#FFFFFD,0.17185185185185187,#FFFFFF,1955
tt0047939,99,1955-02-08,Cinerama Holiday,#F7FFFF,0.16296296296296295,#FFFFFF,1955
tt0048104,35,1952-12-17,Holiday for Henrietta,#FFFFFF,11.84,#FFFFFF,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,#FFFEFF,1.2948148148148149,#FFFFFF,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,#FFFFFD,1.0785185185185189,#FFFFFF,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,#FEFFFF,0.802962962962963,#FFFFFF,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,#FEFEFE,0.7851851851851851,#FFFFFF,1952
tt0052897,35,1959-07-21,Holiday for Lovers,#EBE4D1,0.9066666666666668,#FFFFFF,1959
tt0052897,35,1959-07-21,Holiday for Lovers,#EAE3D0,0.7585185185185185,#FFFFFF,1959
tt0052897,35,1959-07-21,Holiday for Lovers,#ECE5D2,0.7377777777777778,#FFFFFF,1959
tt0052897,35,1959-07-21,Holiday for Lovers,#EBE3CE,0.7022222222222222,#FFFFFF,1959
tt0052897,35,1959-07-21,Holiday for Lovers,#ECE4CF,0.642962962962963,#FFFFFF,1959
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,#F6F2D9,0.02666666666666667,#FFFFFF,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,#F1EBD1,0.0237037037037037,#FFFFFF,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,#FBEB00,0.0237037037037037,#CCFF00,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,#4797AE,0.02074074074074074,#39AAAA,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,#EFEDD6,0.02074074074074074,#FFFFFF,1964
tt0064037,18,1969-09-25,The Christmas Tree,#E32853,28.245925925925924,#FF5555,1969
tt0064037,18,1969-09-25,The Christmas Tree,#E42954,0.3911111111111111,#FF5555,1969
tt0064037,18,1969-09-25,The Christmas Tree,#E52753,0.3792592592592592,#FF5555,1969
tt0064037,18,1969-09-25,The Christmas Tree,#DEE1D8,0.3674074074074074,#FFFFFF,1969
tt0064037,18,1969-09-25,The Christmas Tree,#E22752,0.36148148148148146,#FF5555,1969
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,#022E1F,0.2192592592592593,#005522,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,#012D1E,0.20148148148148148,#005522,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,#023222,0.1955555555555555,#005522,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,#032D1F,0.18074074074074073,#005522,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,#022C1E,0.17185185185185187,#005522,1972
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,#D9C8C0,0.2162962962962963,#FFFFFF,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,#D5C4BC,0.1896296296296296,#FFFFFF,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,#DBCAC2,0.18074074074074073,#FFFFFF,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,#D8C7BF,0.17185185185185187,#FFFFFF,1973
