year,nearest_overall,n
1929,#3F3F00,12.287407407407407
1929,#BF7FBF,5.810370370370371
1929,#FFFF00,27.89037037037037
1929,#FFFFFF,17.635555555555555
1930,#000000,111.33037037037037
1930,#00003F,27.56740740740741
1930,#003F3F,22.275555555555556
1930,#3F0000,77.33925925925926
1930,#3F3F3F,6.426666666666667
1930,#3FBFBF,7.9111111111111105
1930,#7F3F3F,14.204444444444444
1930,#7F7F3F,28.471111111111107
1930,#7F7F7F,21.759999999999998
1930,#7FBFBF,17.14962962962963
1930,#BF0000,19.75111111111111
1930,#BF7F00,52.68444444444444
1930,#BF7F7F,22.874074074074073
1930,#BFBF7F,11.857777777777779
1930,#BFBFBF,5.576296296296297
1930,#FFBFBF,66.42074074074074
1930,#FFFF7F,21.35703703703704
1931,#000000,15.86962962962963
1931,#3F3F3F,10.091851851851851
1931,#7F7F7F,11.117037037037036
1931,#7F7FBF,14.077037037037037
1931,#FFFFBF,14.879999999999999
1934,#000000,120.16888888888889
1934,#3F0000,32.60444444444444
1934,#3F3F00,6.6103703703703705
1934,#3F3F3F,28.444444444444446
1934,#3F7F7F,4.37037037037037
1934,#7F3F00,6.897777777777778
1934,#7F7F3F,5.795555555555556
1934,#BF7F7F,14.391111111111112
1934,#BFBF7F,6.474074074074074
1934,#BFBFBF,36.56
1934,#BFFFBF,22.88
1934,#FFBFBF,29.937777777777782
1934,#FFFFBF,64.37333333333333
1936,#3F0000,26.284444444444446
1936,#3F003F,55.44888888888889
1936,#3F3F00,37.55555555555555
1936,#3F3F3F,49.973333333333336
1936,#7F7F3F,11.68888888888889
1936,#7FBF7F,31.18222222222222
1936,#BFBFBF,18.32
1936,#FFBF7F,19.084444444444443
1936,#FFFFBF,69.34222222222222
1937,#000000,20.56888888888889
1937,#00003F,4.737777777777778
1937,#3F0000,50.77333333333334
1937,#3F3F00,15.537777777777778
1937,#3F3F3F,25.730370370370373
1937,#7F7F7F,23.92
1937,#BF3F3F,10.524444444444445
1937,#BFBF7F,15.875555555555557
1937,#BFFFBF,6.346666666666668
1937,#FF3F00,7.863703703703703
1937,#FFBF3F,15.617777777777778
1937,#FFBF7F,21.06666666666667
1937,#FFBFBF,58.49777777777777
1937,#FFFFBF,84.3288888888889
1937,#FFFFFF,54.22814814814815
1938,#000000,29.617777777777775
1938,#007FBF,83.14666666666666
1938,#3F0000,52.139259259259255
1938,#3F003F,21.884444444444444
1938,#3F3F00,23.59111111111111
1938,#3F3F3F,36.63407407407407
1938,#7F3F3F,19.37777777777778
1938,#7F7F3F,13.182222222222222
1938,#7F7F7F,108.37333333333333
1938,#BF0000,9.066666666666666
1938,#BFBFBF,49.75703703703704
1938,#BFFFFF,14.773333333333333
1938,#FFBF3F,9.662222222222223
1938,#FFFF3F,12.082962962962963
1938,#FFFFFF,218.24
1939,#000000,68.89777777777778
1939,#007F3F,10.302222222222223
1939,#3F0000,12.062222222222221
1939,#FFFF3F,19.804444444444446
1940,#3F0000,12.346666666666668
1940,#BFFF7F,93.00444444444445
1940,#FFBF7F,9.662222222222223
1940,#FFFFBF,64.52444444444444
1942,#000000,27.644444444444446
1942,#003F3F,19.866666666666667
1942,#3F7F3F,16.88888888888889
1942,#BFFFBF,20.622222222222224
1942,#FFFFBF,87.66222222222223
1944,#000000,90.8088888888889
1944,#003F3F,12.026666666666666
1944,#007FBF,27.128888888888888
1944,#3F0000,15.342222222222222
1944,#3F003F,38.96
1944,#3F3F3F,42.666666666666664
1944,#3F7FBF,12.524444444444443
1944,#7FFFFF,20.08
1944,#BFFFFF,54.61333333333333
1944,#FFBFBF,103.22666666666666
1944,#FFFF3F,47.54666666666667
1945,#000000,32.32592592592593
1945,#3F3F00,22.06222222222222
1945,#7F7F3F,5.155555555555556
1945,#BF7F7F,17.297777777777778
1945,#BFBF7F,40.42074074074074
1945,#BFBFBF,4.266666666666667
1945,#FFFFFF,121.97925925925925
1946,#3F0000,10.749629629629629
1946,#3F3F00,14.444444444444445
1946,#7F3F3F,11.194074074074074
1946,#7F7F7F,9.042962962962962
1946,#BF3F3F,16
1946,#BFBFBF,46.14222222222223
1946,#FFBFBF,18.56
1946,#FFFFBF,114.85925925925926
1947,#000000,30.927407407407408
1947,#003F3F,14.968888888888891
1947,#3F0000,60.9511111111111
1947,#3F3F00,14.100740740740742
1947,#3F3F3F,5.422222222222222
1947,#3F7F7F,8.645925925925926
1947,#3F7FBF,27.573333333333334
1947,#7F0000,78.06814814814814
1947,#7F003F,33.8962962962963
1947,#7F3F00,10.933333333333334
1947,#7F3F3F,29.78962962962963
1947,#7F7F7F,6.8533333333333335
1947,#7F7FBF,31.715555555555554
1947,#BF3F00,11.602962962962964
1947,#BF7F00,5.164444444444444
1947,#BFBF7F,17.143703703703704
1947,#BFBFBF,21.075555555555557
1947,#BFBFFF,66.4
1947,#BFFFFF,34.266666666666666
1947,#FFBFBF,13.102222222222224
1947,#FFFFBF,35.300740740740736
1947,#FFFFFF,76.64
1948,#000000,22.456296296296298
1948,#3F0000,5.069629629629629
1948,#3F003F,4.002962962962963
1948,#3F3F3F,6.699259259259259
1948,#3F3F7F,6.897777777777778
1948,#7F7F7F,13.374814814814814
1948,#BF3F00,4.352592592592592
1948,#BF7F00,11.354074074074076
1948,#FFFF7F,5.131851851851852
1948,#FFFFBF,55.0962962962963
1949,#3F0000,80.1037037037037
1949,#3F3F00,14.423703703703703
1949,#3F3F3F,37.7837037037037
1949,#7F0000,35.114074074074075
1949,#7F7F3F,9.463703703703704
1949,#7F7F7F,41.635555555555555
1949,#BF7F7F,11.934814814814814
1949,#BFBF7F,7.250370370370371
1949,#BFBFBF,21.674074074074074
1949,#FFBFBF,27.434074074074076
1949,#FFFF3F,19.724444444444448
1949,#FFFF7F,25.585185185185185
1949,#FFFFBF,244.55407407407407
1949,#FFFFFF,68.47111111111111
1950,#3F0000,3.9525925925925924
1950,#3F003F,28.002962962962965
1950,#3F3F7F,13.795555555555556
1950,#7F003F,4.195555555555556
1950,#BF7F7F,19.33037037037037
1950,#FFBF7F,11.371851851851853
1950,#FFBFBF,15.6
1950,#FFFFFF,112.74666666666667
1951,#000000,22.915555555555557
1951,#00003F,14.133333333333333
1951,#003F3F,15.484444444444446
1951,#007F7F,16.764444444444443
1951,#007FBF,110.08000000000001
1951,#3F003F,38.4
1951,#7FBFBF,21.013333333333335
1951,#BFBF7F,14.642962962962963
1951,#BFFFFF,22.275555555555552
1951,#FFBF7F,11.051851851851852
1951,#FFBFBF,24.50962962962963
1951,#FFFF7F,14.222222222222221
1951,#FFFFBF,7.271111111111111
1951,#FFFFFF,42.24
1952,#000000,64.64
1952,#3F0000,8.21037037037037
1952,#3F3F3F,18.903703703703705
1952,#7F7F7F,21.454814814814814
1952,#7FBFBF,5.401481481481482
1952,#BF0000,8.717037037037038
1952,#BFBF7F,18.441481481481482
1952,#BFBFBF,7.185185185185185
1952,#BFFFFF,11.031111111111112
1952,#FFFFBF,24.165925925925926
1952,#FFFFFF,78.91259259259259
1953,#3F003F,3.9407407407407407
1953,#3F3F3F,9.902222222222221
1953,#3F3F7F,29.80148148148148
1953,#7F7F7F,2.9303703703703703
1953,#BFBFBF,90.39703703703704
1953,#BFFFBF,6.453333333333333
1953,#FFBF3F,10.293333333333333
1953,#FFFFBF,75.43703703703703
1954,#3F0000,15.946666666666665
1954,#BF0000,18.586666666666666
1954,#BFBFBF,13.37777777777778
1954,#BFFFFF,36.05333333333333
1954,#FFFFFF,91.22666666666667
1955,#3F3F3F,5.1970370370370365
1955,#7F7FBF,5.143703703703704
1955,#7FBFFF,7.718518518518519
1955,#7FFFFF,10.503703703703703
1955,#FFFFFF,8.571851851851852
1956,#3F3F3F,38.595555555555556
1956,#7F7F7F,24.278518518518517
1956,#BF7F7F,11.122962962962962
