tconst,adult,backdrop_path,id,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,video,vote_average,vote_count
tt0020356,FALSE,/gmVoDR24LBV8KuWUshAiYNRfBxu.jpg,300936,Sailor's Holiday,en,Sailor's Holiday,"Sailors Pike and Shorty are on leave when a street woman swindles them out of some money by telling them she is looking for her long-lost brother, a sailor.",/sbBIV5w5yKKjudyljayMsk0NgWx.jpg,movie,35,1.171,1929-09-14,FALSE,4.8,2
tt0021268,FALSE,/7QOazyJJowvaMVG95RgnEfO8SvC.jpg,166636,St. Jorgen's Day,ru,Праздник святого Йоргена,"The priests, stock market officials, and police conspire to squeeze income out of pilgrims come to see relics of a Christ like figure. A pair of con men try to pass of a resurrected saint.",/clzd4u3ZIyLbWrnu7kqlJnkGcUj.jpg,movie,35,0.84,1930-08-25,FALSE,6.2,7
tt0023039,FALSE,/dI07i74HqJtCicdr7eBAkJnMn1p.jpg,882832,Husband's Holiday,en,Husband's Holiday,A stuffy family man cheats on his wife but she refuses him a divorce at first. Meanwhile his mistress resents her second class status.,/yQKY6qzlDi9FjR844L8MPcMuVJd.jpg,movie,18,4.5,1931-12-19,FALSE,0,0
tt0025006,FALSE,/9CIogToKpEminkkFmYGv4TbzXvp.jpg,178771,Cowboy Holiday,en,Cowboy Holiday,"Buck's friend Sheriff Simpson is after the Juarez Kid. Buck knows the Kid and the Sheriff's description does not fit. Buck then meets a one time outlaw who is now the Sheriff's deputy and thinks he is posing as the Kid. When a rancher is killed by the supposed Kid, Buck has a plan utilizing the real Juarez's Kid's ranch that will trap him.",/9873ifGd5BGn4iExk9dT7giQJZq.jpg,movie,37,2.744,1934-12-14,FALSE,5,1
tt0028763,FALSE,/2PBD2FxXhc9xcBeAbU09y6bFswF.jpg,241657,Dangerous Holiday,en,Dangerous Holiday,A young violin prodigy is assumed kidnapped after he runs away from home.,/hAyFPzLiNfVCiYqMCyAzdGdTOS0.jpg,movie,18,4.453,1937-06-06,FALSE,0,0
tt0039473,FALSE,/pGx38NLrB7ZYyX6aWYx0ogHCiNM.jpg,51655,Hoppy's Holiday,en,Hoppy's Holiday,"Hoppy, California, and Lucky travel to Mesa City for a short vacation. California buys new clothes and carrying his old ones in a suitcase, bumps into escaping bank robbers in the dark. His suitcase gets switched with that of the robbers and he is seen with the money. Hoppy must find the money that has mysteriously disappeared and also the robbers so that he can clear California who is now in jail.",/wM3dZIP0sGdqVGMWMCL0vgF8VoI.jpg,movie,37,2.083,1947-07-18,FALSE,0,0
tt0040848,FALSE,/jVT7GhSTo1wI50hzNim5eYSYJpY.jpg,43451,Summer Holiday,en,Summer Holiday,"Danville, Connecticut at the turn of the century. Young Richard Miller lives in a middle-class neighborhood with his family. He is in love with the girl next-door, Muriel, but her father isn't too happy with their puppy-love, since Richard always share his revolutionary ideas with her.",/kzXI15OQWzDpwweyUnKhiCSyqy5.jpg,movie,10402,7.924,1948-04-15,FALSE,4.9,9
tt0041099,FALSE,NA,654822,Holiday in Hell,ar,أجازة في جهنم,"A group of regular people join a gang, but they fail in executing their task, so the gang sacks them (literally), so they decide to start their own gang.",/n7FYNU3FQIz2fVBy2AJYH8FCEdm.jpg,movie,,0.841,1949-05-09,FALSE,0,0
tt0042568,FALSE,/wO09cYCyIKLcBKCLn9IpeZAaomF.jpg,531758,Holiday Rhythm,en,Holiday Rhythm,"A young executive is trying to convince an airline to sponsor a travel show on television, but he's not getting anywhere. When he tells his fiancé that he may have to postpone their honeymoon, she goes off on him, and as he backs away from her he hits his head on a fire extinguisher and knocks himself out. While unconscious he dreams his own version of the show he's trying so hard to sell.",/4Zm4mYCLJF4UUP8ljXyYY3EzTyR.jpg,movie,10402,4.166,1950-10-30,FALSE,0,0
tt0044715,FALSE,/hUUcnjzo3qQAK0vUqFr9dxsylc.jpg,193888,Holiday for Sinners,en,Holiday for Sinners,Three old friends reunite during Mardi Gras and try to forget their problems.,/9dzzRLMN9ubyyh0jV07UiiOMXS3.jpg,movie,18,1.283,1952-07-25,FALSE,5.5,4
tt0046487,FALSE,/qi7PmFSlCXVAwqlvdiN2ZrlxJGj.jpg,778,Monsieur Hulot's Holiday,fr,Les vacances de Monsieur Hulot,"Monsieur Hulot, Jacques Tati’s endearing clown, takes a holiday at a seaside resort, where his presence provokes one catastrophe after another. Tati’s masterpiece of gentle slapstick is a series of effortlessly well-choreographed sight gags involving dogs, boats, and firecrackers; it was the first entry in the Hulot series and the film that launched its maker to international stardom.",/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,movie,35,15.7,1953-02-25,FALSE,7,409
tt0047939,FALSE,/yZs9lI1skZ89L2XqQ11XMwKhpg2.jpg,182874,Cinerama Holiday,en,Cinerama Holiday,"Two couples, one from St. Louis and one from Switzerland each go to the other's country and travel around.",/3ksyctXpOz3wYYCPbae5AkGaMdT.jpg,movie,99,1.96,1955-02-08,FALSE,7.7,3
tt0048104,FALSE,/8JaTBLcCT6OXkpRr7KmLfkpdkO5.jpg,4709,Holiday for Henrietta,fr,La Fête à Henriette,"Two scriptwriters argue about the fate of Henrietta, a charming and gamine shopgirl. One favors a comical path for their heroine, who is overcome with sentimental love for a young photographer on Bastille Day. The other has a more thrilling and dastardly fate in mind for her. Among the film's irresistible conceits is Hildegarde Neff as an oversexed circus bareback rider.",/qGGsEVGIVUPcmt8PrLNEHBQ3SCH.jpg,movie,35,3.542,1952-12-17,FALSE,7.3,12
