tsne_1,tsne_2,cluster_label,image_path
36.787113,-0.9082016,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/oWKShJWW4iGB2nz2OZqMiE7efBO.jpg
-6.0658393,-15.709132,6,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/xtvAdXFVJy1DAxenFIC72B9Hjx3.jpg
1.8262665,1.4695963,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/y9Z6OJjM6A4smsdOH0kHGV14Zle.jpg
40.743324,-17.27027,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/jaKkqqbVfd17s6GT2iZIYFzRl2k.jpg
-7.7958817,5.346004,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/9WWPvMrK1DFdKgGmLc8Ybxuyrtv.jpg
4.3767586,27.713108,9,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/6fbqG49Q7IWBWdyJ7asNTcNbnG6.jpg
12.339677,-52.529152,9,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8JHVaLQzfioBHQYpOjJJ6kL2fut.jpg
-22.037794,-37.77095,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/kzXI15OQWzDpwweyUnKhiCSyqy5.jpg
16.144318,16.767612,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/tqnTpBF9Wz88FAY8L6IrHGH4GMr.jpg
-15.86108,0.7168706,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/a4Ypov6fiG7WYAGS1vrsF4Ex0fk.jpg
33.250446,-7.5772643,9,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/9IHvprxYZ0ZVDfQbyMd5OHtGA6s.jpg
-31.470917,-9.000011,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/geJnEoVTWUFdDEiGziJNvP2m3ni.jpg
20.125853,4.492449,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/f36niI1QKbUUN7hh6lbeIEUIv4P.jpg
-17.330372,-1.5215211,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/5DOxt0gNLfsr0omhL9NrvmWIu4m.jpg
