Unique ID,Street address,City,State,ZIP
19997,"121 5TH ST., HOLTVILLE, CA 92250, 121 5TH ST, HOLTVILLE, CA 92250",,,
19998,"800 BEALE AVE., HOLTVILLE, CA 92250, 800 BEALE AVE, HOLTVILLE, CA 92250",,,
19999,"401 W. 14TH ST., IMPERIAL, CA 92251, 401 W 14TH ST, IMPERIAL, CA 92251",,,
20000,"200 W. 9TH ST., IMPERIAL, CA 92251, 200 W 9TH ST, IMPERIAL, CA 92251",,,
20001,"1099 AIRPORT RD., IMPERIAL, CA 92251, 1099 AIRPORT RD, IMPERIAL, CA 92251",,,
20002,"1120 E. 7TH ST., CALEXICO, CA 92231, 1120 E 7TH ST, CALEXICO, CA 92231",,,
20003,"1120 E.7TH ST., CALEXICO, CA 92231, 1120 E 7TH ST, CALEXICO, CA 92231",,,
20004,"1950 VILLA AVE., EL CENTRO, CA 92243, 1950 VILLA AVE, EL CENTRO, CA 92243",,,
20005,"225 A ST., BRAWLEY, CA 92227, 225 A ST, BRAWLEY, CA 92227",,,
20006,"850 EADY AVE., CALEXICO, CA 92231, 850 EADY AVE, CALEXICO, CA 92231",,,
20007,"12754 PARK AVE.,, EL CENTRO, CA 92243, 754 PARK AVE, EL CENTRO, CA 92243",,,
20008,"754 PARK AVE., EL CENTRO, CA 92243, 754 PARK AVE, EL CENTRO, CA 92243",,,
20009,"2059 BOWKER RD., EL CENTRO, CA 92243, 2059 BOWKER RD, EL CENTRO, CA 92243",,,
20010,"1720 E IMPERIAL AVE., CALEXICO, CA 92231, 1720 E IMPERIAL AVE, CALEXICO, CA 92231",,,
20011,"1401 B ST., BRAWLEY, CA 92227, 1401 B ST, BRAWLEY, CA 92227",,,
20012,"686 BASELINE RD, WINTERHAVEN, CA 92283, 686 BASELINE RD, WINTERHAVEN, CA 92283",,,
20013,"1810 RIO VISTA, SEELEY, CA 92273, 1812 RIO VISTA, SEELEY, CA 92273",,,
20014,"217 W 7TH ST., HOLTVILLE, CA 92250, 217 W 7TH ST, HOLTVILLE, CA 92250",,,
20015,"431 W. WALL ST., IMPERIAL, CA 92251, 431 W WALL ST, IMPERIAL, CA 92251",,,
20016,"1202 KLOKE RD., CALEXICO, CA 92231, 1202 KLOKE RD, CALEXICO, CA 92231",,,
20017,"1375 BORREGO SALTON SEA WAY F-22, 1375 BORREGO SALTON SEA WAY AVE F-22, SALTON SEA, CA 92275",,,
20018,"555 N WESTERN AVE., BRAWLEY, CA, 555 N WESTERN AVE, BRAWLEY, CA 92227",,,
20019,"200 W. SECOND ST., WESTMORLAND, CA 92281, 200 W SECOND ST, WESTMORLAND, CA 92281",,,
20020,"168 N Edwards St, Independence, CA 93526",,,
20021,"150 Dewey St, Big Pine, CA 93513",,,
20022,"1234 Sierra St, Bishop, CA 93514",,,
20023,"168 N Edwards St, Independence, CA 93526",,,
20024,"52 Tu Su Ln, Bishop, CA 93514",,,
20025,"138 N Jackson St, Lone Pine, CA 93545",,,
20026,"2400 Westholme Blvd, Bakersfield, CA 93309",,,
20027,"10000 Ming Ave, Bakersfield, CA 93311",,,
20028,"10510 Chippewa St, Bakersfield, CA 93312",,,
20029,"800 Verdugo Ln, Bakersfield, CA 93312",,,
20030,"12014 Main St, Lamont, CA 93241",,,
20031,"201 Campus Dr, Arvin, CA 93203",,,
20032,"414 4th Ave, Arvin, CA 93203",,,
20033,"327 A St, Bakersfield, CA 93304",,,
20034,"1801 Panorama Dr, Bakersfield, CA 93305",,,
20035,"837 H St, Bakersfield, CA 93304",,,
20036,"2801 Hughes Ln, Bakersfield, CA 93304",,,
20037,"1660 Pine St, Bakersfield, CA 93301",,,
20038,"3900 Berkshire Rd, Bakersfield, CA 93313",,,
