Unique ID,Street address,City,State,ZIP
1,"2610 HIGHWAY 14 W, AUTAUGAVILLE, AL 36003",,,
2,"2159 COUNTY RD 37, BILLINGSLEY, AL 36006",,,
3,"2301 COUNTY RD 66, PRATTVILLE, AL 36067",,,
4,"1701 COUNTY ROAD 10, BOOTH, AL 36008",,,
5,"201 WOODVALE ROAD, PRATTVILLE, AL 36067",,,
6,"3613 HWY 14 W, AUTAUGAVILLE, AL 36003",,,
7,"131 NORTH COURT ST, PRATTVILLE, AL 36067",,,
8,"1524 COUNTY RD 39, DEATSVILLE, AL 36022",,,
9,"424 S. NORTHINGTON ST., PRATTVILLE, AL 36067",,,
10,"1320 OLD RIDGE ROAD E, PRATTVILLE, AL 36066",,,
11,"1357 SOUTH MEMORIAL DRIVE, PRATTVILLE, AL 36067",,,
12,"1702 COUNTY ROAD 40 W, PRATTVILLE, AL 36067",,,
13,"848 CO RD 83, JONES, AL 36749",,,
14,"210 CO RD 20 E, MARBURY, AL 36051",,,
15,"1047 COUNTY ROAD 40 W, PRATTVILLE, AL 36067",,,
16,"814 SMITH AVE, PRATTVILLE, AL 36067",,,
17,"610 FAIRVIEW AVE, PRATTVILLE, AL 36066",,,
18,"1309 UPPER KINGSTON RD, PRATTVILLE, AL 36067",,,
19,"1151 CO RD 49, MARBURY, AL 36051",,,
20,"71250 STATE HIGHWAY 59, LITTLE RIVER, AL 36550",,,
21,"65123 STATE HWY 59, STOCKTON, AL 36579",,,
22,"55260 COUNTY RD 21, STOCKTON, AL 36579",,,
23,"9551 STATE HIGHWAY 138, BAY MINETTE, AL 36507",,,
24,"900 B STILL BLVD, BAY MINETTE, AL 36507",,,
25,"36625 STATE HIGHWAY 225, BAY MINETTE, AL 36507",,,
26,"10424 US HIGHWAY 31, SPANISH FORT, AL 36527",,,
27,"14090 COUNTY RD 66, LOXLEY, AL 36551",,,
28,"4198 MUNICIPAL PARK DR, LOXLEY, AL 36551",,,
29,"17280 SCENIC HIGHWAY 98, FAIRHOPE, AL 36532",,,
30,"59591 JACK SPRINGS RD, ATMORE, AL 36502",,,
31,"54060 STATE HIGHWAY 59, STOCKTON, AL 36579",,,
32,"53980 RABUN RD, BAY MINETTE, AL 36507",,,
33,"23380 COUNTY RD 47, PERDIDO, AL 36562",,,
34,"301 DOLIVE ST, BAY MINETTE, AL 36507",,,
35,"42245 PINE GROVE RD, BAY MINETTE, AL 36507",,,
