Unique ID,Street address,City,State,ZIP
429915,"3613 WALDO BLVD, MANITOWOC WI 54220-3036",,,
429916,"3330 CUSTER ST, MANITOWOC WI 54220-4355",,,
429917,"411 REED AVE, MANITOWOC WI 54220-2022",,,
429918,"1322 33RD ST, TWO RIVERS WI 54241-1747",,,
429919,"1322 33RD ST, TWO RIVERS WI 54241-1747",,,
429920,"3201 MISHICOT RD, TWO RIVERS, WI  54241-1555",,,
429921,"3201 MISHICOT RD, TWO RIVERS, WI  54241-1555",,,
429922,"1717 E PARK ST, TWO RIVERS, WI  54241-3060",,,
429923,"1717 E PARK ST, TWO RIVERS, WI  54241-3060",,,
429924,"1114 LOWELL ST, TWO RIVERS WI 54241-3412",,,
429925,"1114 LOWELL ST, TWO RIVERS WI 54241-3412",,,
429926,"1696 COUNTY ROAD C, MOSINEE WI 54455",,,
429927,"11248 BERLIN LN, ATHENS WI 54411-9055",,,
429928,"11248 BERLIN LN, ATHENS WI 54411-9055",,,
429929,"6585 COUNTY ROAD M, ATHENS, WI  54411-8429",,,
429930,"1096 S COUNTY ROAD Y, HATLEY WI 54440",,,
429931,"1096 S COUNTY ROAD Y, HATLEY WI 54440",,,
429932,"B1001 TOWN HALL RD, UNITY WI 54488",,,
429933,"3400 COUNTY RD S, MARATHON WI 54448",,,
429934,"C4262 COUNTY ROAD M, STRATFORD WI 54484",,,
429935,"C4262 COUNTY ROAD M, STRATFORD WI 54484",,,
429936,"D1838 COUNTY ROAD C, STRATFORD, WI  54484",,,
429937,"D1838 COUNTY ROAD C, STRATFORD, WI  54484",,,
429938,"E15212 COUNTY ROAD Z, RINGLE, WI  54471-9680",,,
429939,"E15212 COUNTY ROAD Z, RINGLE, WI  54471-9680",,,
429940,"EP410 EQUITY ST, STRATFORD WI 54484",,,
429941,"1490 CHERRY DR, ELAND WI 54427",,,
429942,"3365 HALDER DR, MOSINEE, WI  54455-8553",,,
429943,"3365 HALDER DR, MOSINEE, WI  54455-8553",,,
429944,"F2295 COUNTY RD N, COLBY WI 54421-9719",,,
429945,"1695 S STATE HIGHWAY 49, WITTENBERG WI 54499",,,
429946,"879 ANCESTOR LN, MOSINEE, WI  54455",,,
429947,"2090 S COUNTY ROAD X, MOSINEE WI 54455",,,
429948,"6304 NEHRBASS RD, ATHENS WI 54411",,,
429949,"8230 3RD LN, MARATHON WI 54448",,,
429950,"2992 COUNTY ROAD Y, ANIWA, WI  54408-9691",,,
429951,"H12399 COUNTY ROAD Q, WAUSAU, WI  54403-9549",,,
429952,"5513 ROSEDALE AVE, ABBOTSFORD WI 54405",,,
429953,"H3306 BLUEBERRY RD, COLBY, WI  54421-9703",,,
429954,"5675 TOWN HALL RD, ATHENS WI 54411",,,
429955,"1243 OLD HIGHWAY 51, MOSINEE, WI  54455",,,
429956,"1243 OLD HIGHWAY 51, MOSINEE, WI  54455",,,
429957,"1243 OLD HIGHWAY 51, MOSINEE, WI  54455",,,
429958,"6111 N 44TH AVE, WAUSAU, WI  54401-8832",,,
429959,"6111 N 44TH AVE, WAUSAU, WI  54401-8832",,,
429960,"6111 N 44TH AVE, WAUSAU, WI  54401-8832",,,
429961,"6111 N 44TH AVE, WAUSAU, WI  54401-8832",,,
429962,"3684 MARATHON RD, MARATHON, WI  54448-9631",,,
429963,"3684 MARATHON RD, MARATHON, WI  54448-9631",,,
429964,"M403 ELM ST, MARSHFIELD, WI  54449-9247",,,
429965,"M403 ELM ST, MARSHFIELD, WI  54449-9247",,,
429966,"M403 ELM ST, MARSHFIELD, WI  54449-9247",,,
429967,"1104 TOWN HALL RD, MOSINEE, WI  54455-8623",,,
429968,"1104 TOWN HALL RD, MOSINEE, WI  54455-8623",,,
429969,"1104 TOWN HALL RD, MOSINEE, WI  54455-8623",,,
429970,"N4593 CORNELL ST, BIRNAMWOOD, WI  54414-9658",,,
429971,"P4299 COUNTY ROAD Z, BIRNAMWOOD WI 54414",,,
429972,"1603 COUNTY ROAD Y, HATLEY WI 54440-9543",,,
429973,"1603 COUNTY ROAD Y, HATLEY WI 54440-9543",,,
429974,"1744 COUNTY R0AD S, EDGAR WI 54426",,,
429975,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429976,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429977,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429978,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429979,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429980,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429981,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429982,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429983,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429984,"3700 N MOUNTAIN RD, WAUSAU WI 54401-9274",,,
429985,"R394 CHERRY LN, EDGAR WI 54426",,,
429986,"R7107 TOWN HALL RD, RINGLE, WI  54471-9537",,,
