date,title,name,type,constellation
2018-01-01,Sun Halo over Sweden,Sun,Star,NA
2018-01-02,Unexpected X-Rays from Perseus Galaxy Cluster,Perseus Galaxy Cluster,Cluster,NA
2018-01-02,Unexpected X-Rays from Perseus Galaxy Cluster,Black Hole,Black Hole,NA
2018-01-03,The Helix Nebula from CFHT,Helix Nebula,Nebula,NA
2018-01-03,The Helix Nebula from CFHT,Sun,Star,NA
2018-01-03,The Helix Nebula from CFHT,white dwarf star,Star,NA
2018-01-03,The Helix Nebula from CFHT,Aquarius,Constellation,NA
2018-01-04,M1: The Incredible Expanding Crab,Crab Nebula,Nebula,NA
2018-01-04,M1: The Incredible Expanding Crab,Taurus,Constellation,NA
2018-01-05,Carina over Lake Ballard,Great Carina Nebula,Nebula,NA
2018-01-05,Carina over Lake Ballard,Milky Way,Galaxy,NA
2018-01-05,Carina over Lake Ballard,Alpha Centauri,Star,NA
2018-01-05,Carina over Lake Ballard,Beta Centauri,Star,NA
2018-01-05,Carina over Lake Ballard,Southern Cross,Constellation,NA
2018-01-05,Carina over Lake Ballard,Coalsack Nebula,Nebula,NA
2018-01-06,Planets on the Wing,Jupiter,Planet,NA
2018-01-06,Planets on the Wing,Mars,Planet,NA
2018-01-06,Planets on the Wing,Zubenelgenubi,Star,NA
2018-01-06,Planets on the Wing,Libra,Constellation,NA
2018-01-07,A Tether in Space,Sun,Star,NA
2018-01-08,Clouds of Andromeda,Andromeda galaxy,Galaxy,NA
2018-01-08,Clouds of Andromeda,Milky Way Galaxy,Galaxy,NA
2018-01-09,Bright Planetary Nebula NGC 7027 from Hubble,NGC 7027,Nebula,NA
2018-01-09,Bright Planetary Nebula NGC 7027 from Hubble,Sun,Star,NA
2018-01-09,Bright Planetary Nebula NGC 7027 from Hubble,Cygnus,Constellation,NA
2018-01-10,NGC 2623: Merging Galaxies from Hubble,NGC 2623,Galaxy,NA
2018-01-10,NGC 2623: Merging Galaxies from Hubble,Crab,Constellation,NA
2018-01-11,RCW 114: A Dragon's Heart in Ara,RCW 114,Nebula,NA
2018-01-11,RCW 114: A Dragon's Heart in Ara,neutron star,Star,NA
2018-01-11,RCW 114: A Dragon's Heart in Ara,pulsar,Star,NA
2018-01-11,RCW 114: A Dragon's Heart in Ara,Ara,Constellation,NA
2018-01-12,Blue Comet PanSTARRS,Comet PanSTARRS,Comet,NA
2018-01-12,Blue Comet PanSTARRS,Sun,Star,NA
2018-01-12,Blue Comet PanSTARRS,Taurus,Constellation,NA
2018-01-12,Blue Comet PanSTARRS,Hyades,Cluster,NA
2018-01-12,Blue Comet PanSTARRS,Gamma Tauri,Star,NA
2018-01-13,Launch and Landing,Sun,Star,NA
2018-01-13,Launch and Landing,Moon,Moon,NA
2018-01-13,Launch and Landing,Mars,Planet,NA
2018-01-14,Three Galaxies and a Comet,Milky Way,Galaxy,NA
2018-01-14,Three Galaxies and a Comet,Large Magellanic Cloud,Galaxy,NA
2018-01-14,Three Galaxies and a Comet,Small Magellanic Cloud,Galaxy,NA
2018-01-14,Three Galaxies and a Comet,Comet McNaught,Comet,NA
