name,type,ra,dec,image
10 Lacertae,Star,339.815327655,39.05026976444,http://commons.wikimedia.org/wiki/Special:FilePath/10%20Lacertae%20Celestia.jpg
3C 279,Galaxy,194.0465268837553,-5.7893144001307,http://commons.wikimedia.org/wiki/Special:FilePath/Gamma-Ray%20Quasar%203C%20279.jpg
44 Ophiuchi,Star,261.59257287042,-24.17531082778,NA
47 Ophiuchi,Star,261.6578398576724,-5.08659846366194,NA
47 Tucanae,Cluster,6.0223292,-72.0814444,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Globular%20Cluster%2047%20Tu.jpg
51 Ophiuchi,Star,262.8539744625691,-23.96264300074556,NA
51 Pegasi,Star,344.36658535524,20.76883251114,http://commons.wikimedia.org/wiki/Special:FilePath/Pegasus%2051%20location%20inv.png
52 Cygni,Star,311.41563797232584,30.71971453957611,http://commons.wikimedia.org/wiki/Special:FilePath/NGC6960%20Veil%20Nebula%20Supernova%20Remnant%20from%20the%20Mount%20Lemmon%20SkyCenter%20Schulman%20Telescope%20courtesy%20Adam%20Block.jpg
AB Aurigae,Star,73.94102455509,30.55119224362,http://commons.wikimedia.org/wiki/Special:FilePath/ALMA%20image%20of%20the%20circumstellar%20disk%20AB%20Aurigae.jpg
AE Aurigae,Star,79.0756205989318,34.312318615563,NA
AG Carinae,Star,164.04824136809916,-60.45355820343861,http://commons.wikimedia.org/wiki/Special:FilePath/AG%20Carinae%20%28HD%2094910%29.png
Abell 1689,Cluster,197.87292,-1.34111,http://commons.wikimedia.org/wiki/Special:FilePath/Abell%201689.jpg
Abell 2218,Cluster,248.975,66.21667,http://commons.wikimedia.org/wiki/Special:FilePath/Abell%20NGC2218%20hst%20big.jpg
Abell 2667,Cluster,357.914042,-26.084083,http://commons.wikimedia.org/wiki/Special:FilePath/Abell%202667HSTFull.jpg
Abell 2744,Cluster,3.583458,-30.388278,http://commons.wikimedia.org/wiki/Special:FilePath/Pandora%27s%20Cluster%20%E2%80%93%20Abell%202744.jpg
Abell 36,Nebula,205.1722719719351,-19.8820340154209,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Fleeting%20Moment%20in%20Time%20-%20Planetary%20Nebula%20ESO%20577-24.jpg
Abell 370,Cluster,39.96042,-1.58556,http://commons.wikimedia.org/wiki/Special:FilePath/Gravitational%20lensing%20in%20the%20galaxy%20cluster%20Abell%20370%20%28captured%20by%20the%20Hubble%20Space%20Telescope%29.jpg
Abell 3827,Cluster,330.45458,-59.95417,http://commons.wikimedia.org/wiki/Special:FilePath/Hubble%20image%20of%20the%20galaxy%20cluster%20Abell%203827.jpg
